add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528283732.928458] /dev/input/event6: EV_ABS       ABS_X                00004655            
[1528283732.928458] /dev/input/event6: EV_ABS       ABS_Y                000042f9            
[1528283732.928458] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.950054] /dev/input/event6: EV_ABS       ABS_X                00004786            
[1528283732.950054] /dev/input/event6: EV_ABS       ABS_Y                000041bf            
[1528283732.950054] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.968592] /dev/input/event6: EV_ABS       ABS_X                00004845            
[1528283732.968592] /dev/input/event6: EV_ABS       ABS_Y                000040df            
[1528283732.968592] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.029332] /dev/input/event6: EV_ABS       ABS_X                00004a5b            
[1528283733.029332] /dev/input/event6: EV_ABS       ABS_Y                00003e99            
[1528283733.029332] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.029387] /dev/input/event6: EV_ABS       ABS_X                00004aa7            
[1528283733.029387] /dev/input/event6: EV_ABS       ABS_Y                00003d60            
[1528283733.029387] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.039420] /dev/input/event6: EV_ABS       ABS_X                00004acd            
[1528283733.039420] /dev/input/event6: EV_ABS       ABS_Y                00003d33            
[1528283733.039420] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.056265] /dev/input/event6: EV_ABS       ABS_Y                00003d06            
[1528283733.056265] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.080512] /dev/input/event6: EV_ABS       ABS_X                00004aa7            
[1528283733.080512] /dev/input/event6: EV_ABS       ABS_Y                00003c80            
[1528283733.080512] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.088751] /dev/input/event6: EV_ABS       ABS_X                00004a81            
[1528283733.088751] /dev/input/event6: EV_ABS       ABS_Y                00003c53            
[1528283733.088751] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.107038] /dev/input/event6: EV_ABS       ABS_X                00004a0e            
[1528283733.107038] /dev/input/event6: EV_ABS       ABS_Y                00003bfa            
[1528283733.107038] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.124179] /dev/input/event6: EV_ABS       ABS_X                000049c2            
[1528283733.124179] /dev/input/event6: EV_ABS       ABS_Y                00003bcd            
[1528283733.124179] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.141270] /dev/input/event6: EV_ABS       ABS_X                000048b7            
[1528283733.141270] /dev/input/event6: EV_ABS       ABS_Y                00003b74            
[1528283733.141270] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.158150] /dev/input/event6: EV_ABS       ABS_X                000047d2            
[1528283733.158150] /dev/input/event6: EV_ABS       ABS_Y                00003b1a            
[1528283733.158150] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.180271] /dev/input/event6: EV_ABS       ABS_X                000046ed            
[1528283733.180271] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.189999] /dev/input/event6: EV_ABS       ABS_X                00004655            
[1528283733.189999] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.208484] /dev/input/event6: EV_ABS       ABS_X                000044fd            
[1528283733.208484] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.225228] /dev/input/event6: EV_ABS       ABS_X                00004465            
[1528283733.225228] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.282685] /dev/input/event6: EV_ABS       ABS_X                000043cc            
[1528283733.282685] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283733.284036] /dev/input/event6: EV_ABS       ABS_X                00004229            
